experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	14 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.6 	False 	False 	True 	both 	(0, -1) 	1 	KID 	WAD 	0 	0 	GIG 	GIG 	1 	0
main	15 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.6 	False 	False 	True 	both 	(0, -1) 	0 	GUM 	SUM 	0 	-99 	-99 	-99 	-99 	0
main	16 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	CAP 	CUP 	0 	0 	PAY 	PAY 	1 	0
main	17 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	HEY 	HEY 	1 	-99 	-99 	-99 	-99 	0
main	18 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.6 	False 	False 	False 	both 	(0, -1) 	0 	RAY 	RAY 	1 	1 	MUM 	MUM 	1 	0
main	19 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.6 	False 	False 	True 	both 	(0, -1) 	1 	JAW 	WAY 	0 	0 	RUN 	RUN 	1 	0
main	20 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	BUS 	ICE 	0 	-99 	-99 	-99 	-99 	0
main	21 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	RUM 	MOM 	0 	1 	KID 	KID 	1 	0
main	22 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	SEX 	WAX 	0 	1 	FLU 	FLU 	1 	0
main	23 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	LED 	RED 	0 	0 	EGO 	EGO 	1 	0
main	24 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	POP 	HOP 	0 	0 	HAT 	HAT 	1 	0
main	25 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, 1) 	1 	ILL 	MOP 	0 	0 	LAD 	LAD 	1 	0
main	26 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, -1) 	0 	CAN 	DIE 	0 	-99 	-99 	-99 	-99 	0
main	27 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	YET 	YET 	1 	1 	SUB 	SUB 	1 	0
main	28 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	POD 	GOD 	0 	1 	FAT 	FAT 	1 	0
main	29 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, -1) 	0 	JAM 	JAM 	1 	-99 	-99 	-99 	-99 	0
main	30 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, -1) 	1 	APE 	PEP 	0 	0 	TAG 	TAG 	1 	0
main	31 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	ODD 	DED 	0 	-99 	-99 	-99 	-99 	0
main	32 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	True 	both 	(0, -1) 	1 	WAR 	WWW 	0 	0 	SAY 	SAY 	1 	0
main	33 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	False 	both 	(0, 1) 	0 	EAR 	HER 	0 	1 	HIS 	HIS 	1 	0
main	34 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, 1) 	0 	ACE 	DOC 	0 	-99 	-99 	-99 	-99 	0
main	35 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	False 	both 	(0, 1) 	0 	SIT 	FAT 	0 	1 	ODD 	ODD 	1 	0
main	36 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	True 	both 	(0, -1) 	1 	RAT 	MAX 	0 	0 	AID 	AID 	1 	0
main	37 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	SAW 	FAT 	0 	-99 	-99 	-99 	-99 	0
main	38 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	False 	both 	(0, -1) 	0 	FLY 	WAY 	0 	1 	PEN 	PEN 	1 	0
main	39 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.15 	False 	False 	True 	both 	(0, 1) 	0 	CUP 	SUE 	0 	-99 	-99 	-99 	-99 	0
main	40 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, -1) 	0 	WET 	POT 	0 	-99 	-99 	-99 	-99 	0
main	41 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.25 	False 	False 	False 	both 	(0, 1) 	0 	SUN 	DON 	0 	1 	SIT 	SIT 	1 	0
main	42 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.25 	False 	False 	True 	both 	(0, 1) 	1 	NEW 	HOD 	0 	0 	NOW 	NOW 	1 	0
main	43 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, -1) 	1 	BOW 	FAX 	0 	0 	BEE 	BEE 	1 	0
main	44 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	RIG 	HUG 	0 	1 	BEG 	BEN 	0 	0
main	45 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.25 	False 	False 	True 	both 	(0, 1) 	1 	ARM 	MOP 	0 	0 	JOB 	JOB 	1 	0
main	46 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.25 	False 	False 	False 	both 	(0, -1) 	0 	HAD 	ODD 	0 	1 	ODD 	ODD 	1 	0
main	47 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, -1) 	0 	INN 	INN 	1 	-99 	-99 	-99 	-99 	0
main	48 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, -1) 	0 	TRY 	ANY 	0 	1 	ART 	ART 	1 	0
main	49 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	False 	both 	(0, 1) 	0 	TUB 	BEG 	0 	1 	BEG 	BEG 	1 	0
main	50 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	True 	both 	(0, -1) 	1 	COP 	COP 	1 	0 	ANY 	ANY 	1 	0
main	51 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, -1) 	0 	HAM 	FEW 	0 	-99 	-99 	-99 	-99 	0
main	52 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	True 	both 	(0, 1) 	1 	BED 	DAD 	0 	0 	MUM 	MUM 	1 	0
main	53 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.15 	False 	False 	False 	both 	(0, -1) 	0 	SKI 	SKY 	0 	-99 	-99 	-99 	-99 	0
main	54 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, -1) 	1 	RAP 	SUB 	0 	0 	SUB 	SUP 	0 	0
main	55 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.25 	False 	False 	False 	both 	(0, 1) 	0 	GIN 	MAN 	0 	1 	OLD 	OLD 	1 	0
main	56 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.25 	False 	False 	False 	both 	(0, -1) 	0 	NOR 	FOG 	0 	1 	FOG 	FOG 	1 	0
main	57 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	WOW 	WOW 	1 	-99 	-99 	-99 	-99 	0
main	58 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, 1) 	1 	TOO 	ODD 	0 	0 	ILL 	ILL 	1 	0
main	59 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.15 	False 	False 	True 	both 	(0, 1) 	0 	WON 	RUB 	0 	-99 	-99 	-99 	-99 	0
main	60 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, -1) 	1 	BID 	GIM 	0 	0 	GIN 	GIM 	0 	0
main	61 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.25 	False 	False 	False 	both 	(0, 1) 	0 	TEN 	WEE 	0 	1 	WEE 	WEE 	1 	0
main	62 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.25 	False 	False 	True 	both 	(0, -1) 	1 	TAN 	OWN 	0 	0 	PIE 	PIE 	1 	0
main	63 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, -1) 	0 	SAY 	SAY 	1 	-99 	-99 	-99 	-99 	0
main	64 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, 1) 	0 	AIR 	HAM 	0 	-99 	-99 	-99 	-99 	0
main	65 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.25 	False 	False 	True 	both 	(0, 1) 	1 	GAY 	JAW 	0 	0 	JAW 	JAY 	0 	0
main	66 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	SET 	WET 	0 	1 	BUY 	BUW 	0 	0
main	67 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.35 	False 	False 	True 	both 	(0, -1) 	0 	BEE 	HAM 	0 	-99 	-99 	-99 	-99 	0
main	68 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	CAR 	CAR 	1 	-99 	-99 	-99 	-99 	0
main	69 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	OUT 	OUT 	1 	1 	SET 	OUT 	0 	0
main	70 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.35 	False 	False 	False 	both 	(0, -1) 	0 	CAB 	FLU 	0 	1 	FLU 	FLU 	1 	0
main	71 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.35 	False 	False 	True 	both 	(0, 1) 	1 	JET 	GOT 	0 	0 	HIM 	HIM 	1 	0
main	72 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	WAS 	NEW 	0 	-99 	-99 	-99 	-99 	0
main	73 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.35 	False 	False 	True 	both 	(0, -1) 	0 	GOT 	OWN 	0 	-99 	-99 	-99 	-99 	0
main	74 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	GET 	WET 	0 	1 	DIG 	DIG 	1 	0
main	75 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	NEW 	NEW 	1 	0 	POT 	POT 	1 	0
main	76 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.35 	False 	False 	False 	both 	(0, 1) 	0 	COW 	OWN 	0 	1 	CAB 	CAB 	1 	0
main	77 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.35 	False 	False 	False 	both 	(0, 1) 	0 	TEN 	TON 	0 	-99 	-99 	-99 	-99 	0
main	78 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	HAD 	HAT 	0 	0 	WAY 	WAY 	1 	0
main	79 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, -1) 	1 	DOC 	DOC 	1 	0 	SEX 	SEX 	1 	0
main	80 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.35 	False 	False 	True 	both 	(0, -1) 	1 	PIE 	POP 	0 	0 	WIN 	WIN 	1 	0
main	81 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.35 	False 	False 	False 	both 	(0, -1) 	0 	WEE 	WEB 	0 	1 	WEB 	WEB 	1 	0
main	82 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	SON 	GUN 	0 	1 	HUT 	HUT 	1 	0
main	83 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	TAG 	TAG 	1 	-99 	-99 	-99 	-99 	0
main	84 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.25 	False 	False 	False 	both 	(0, 1) 	0 	EAT 	TAP 	0 	1 	LAP 	TAP 	0 	0
main	85 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	SUB 	ONE 	0 	1 	ONE 	ONE 	1 	0
main	86 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	MUM 	SUM 	0 	-99 	-99 	-99 	-99 	0
main	87 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.35 	False 	False 	False 	both 	(0, 1) 	0 	HIP 	HIT 	0 	-99 	-99 	-99 	-99 	0
main	88 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, -1) 	0 	OUR 	MUM 	0 	-99 	-99 	-99 	-99 	0
main	89 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.45 	False 	False 	False 	both 	(0, -1) 	0 	DOG 	DOG 	1 	1 	SIX 	SIX 	1 	0
main	90 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.45 	False 	False 	True 	both 	(0, 1) 	1 	CUP 	APP 	0 	0 	JOB 	JOB 	1 	0
main	91 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	RAT 	RAX 	0 	-99 	-99 	-99 	-99 	0
main	92 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.45 	False 	False 	True 	both 	(0, -1) 	1 	EGG 	EGG 	1 	0 	HAT 	FAT 	0 	0
main	93 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.45 	False 	False 	False 	both 	(0, -1) 	0 	DRY 	EAR 	0 	1 	EAR 	EAR 	1 	0
main	94 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	RAN 	RUN 	0 	0 	WAX 	WAX 	1 	0
main	95 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, -1) 	1 	SIR 	OUR 	0 	0 	PIE 	PIE 	1 	0
main	96 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.35 	False 	False 	False 	both 	(0, -1) 	0 	RAP 	MOP 	0 	1 	HOT 	HOT 	1 	0
main	97 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.35 	False 	False 	False 	both 	(0, -1) 	0 	SIR 	SIR 	1 	-99 	-99 	-99 	-99 	0
main	98 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	FAR 	JAR 	0 	1 	JAR 	JAR 	1 	0
main	99 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	SIN 	FLU 	0 	0 	GAS 	GAS 	1 	0
main	100 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.25 	False 	False 	False 	both 	(0, 1) 	0 	FLU 	FLU 	1 	-99 	-99 	-99 	-99 	0
main	101 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.25 	False 	False 	True 	both 	(0, 1) 	1 	HID 	NOT 	0 	0 	TOY 	TOY 	1 	0
main	102 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, -1) 	0 	AYE 	MET 	0 	-99 	-99 	-99 	-99 	0
main	103 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.25 	False 	False 	False 	both 	(0, -1) 	0 	FAX 	WAX 	0 	1 	TOO 	TOO 	1 	0
main	104 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.25 	False 	False 	True 	both 	(0, 1) 	0 	LOT 	TOW 	0 	-99 	-99 	-99 	-99 	0
main	105 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	CRY 	WAY 	0 	0 	FAX 	FAX 	1 	0
main	106 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	KEY 	WAT 	0 	1 	POD 	POT 	0 	0
main	107 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.35 	False 	False 	True 	both 	(0, 1) 	1 	HUT 	MOY 	0 	0 	JAR 	JAR 	1 	0
main	108 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.35 	False 	False 	True 	both 	(0, -1) 	0 	FOX 	WAX 	0 	-99 	-99 	-99 	-99 	0
main	109 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	ARM 	ARM 	1 	-99 	-99 	-99 	-99 	0
main	110 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, -1) 	1 	SUB 	FLY 	0 	0 	FRY 	FLY 	0 	0
main	111 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.45 	False 	False 	True 	both 	(0, 1) 	0 	YET 	FLX 	0 	-99 	-99 	-99 	-99 	0
main	112 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	ROB 	NOT 	0 	1 	YES 	YES 	1 	0
main	113 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	SAW 	NOW 	0 	1 	GAL 	GAL 	1 	0
main	114 	mliu5450 	 T1 	 True 	 0.0 	3.0 	0.45 	False 	False 	False 	both 	(0, 1) 	0 	SIX 	SIX 	1 	-99 	-99 	-99 	-99 	0
main	115 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.45 	False 	False 	False 	both 	(0, -1) 	0 	FRY 	WAY 	0 	1 	ADD 	ADD 	1 	0
main	116 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	ACT 	NOT 	0 	1 	SIN 	SIT 	0 	0
main	117 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.45 	False 	False 	True 	both 	(0, 1) 	1 	ASS 	MSS 	0 	0 	DAY 	DAY 	1 	0
main	118 	mliu5450 	 T1 	 False 	 0.0 	3.0 	0.45 	False 	False 	True 	both 	(0, 1) 	1 	MUM 	WAY 	0 	0 	WET 	WET 	1 	0
